STRATA,CLUSTER,W,multi,multi3,s5,SEX,SCHOOL,br2,ca,sw,ze,fa,ve,mi,ni,wa,fr,sleep,str_d,M_SAD,esrcrd_r,ese_r,F_BR,br
2025_64,1.0,77.26995562194232,0.0,0.0,1.0,1.0,중학교,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,1.0,0.0
2025_64,1.0,76.04961500154236,0.0,0.0,1.0,2.0,중학교,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0
2025_64,1.0,77.26995562194232,0.0,0.0,0.0,1.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,4.0,8.0,1.0
2025_64,1.0,77.26995562194232,0.0,0.0,0.0,1.0,중학교,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,7.0,1.0
2025_64,1.0,77.26995562194232,0.0,0.0,0.0,1.0,중학교,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0
2025_64,1.0,76.04961500154236,0.0,0.0,0.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,8.0,1.0
2025_64,1.0,76.04961500154236,0.0,0.0,0.0,2.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,8.0,1.0
2025_64,1.0,77.26995562194232,0.0,0.0,0.0,1.0,중학교,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,8.0,1.0
2025_64,1.0,76.04961500154236,0.0,0.0,1.0,2.0,중학교,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0
2025_64,1.0,77.26995562194232,0.0,0.0,0.0,1.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,7.0,1.0
2025_64,1.0,76.04961500154236,0.0,0.0,0.0,2.0,중학교,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,8.0,1.0
2025_64,1.0,76.04961500154236,0.0,0.0,1.0,2.0,중학교,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,6.0,1.0
2025_64,1.0,76.04961500154236,0.0,0.0,0.0,2.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,6.0,1.0
2025_64,1.0,77.26995562194232,0.0,0.0,0.0,1.0,중학교,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,5.0,7.0,1.0
2025_64,1.0,76.04961500154236,0.0,0.0,0.0,2.0,중학교,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0
2025_64,1.0,77.26995562194232,0.0,0.0,0.0,1.0,중학교,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0
2025_64,1.0,76.04961500154236,0.0,0.0,1.0,2.0,중학교,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,1.0
2025_64,1.0,76.04961500154236,0.0,0.0,0.0,2.0,중학교,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,8.0,1.0
2025_64,1.0,77.26995562194232,0.0,0.0,0.0,1.0,중학교,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0
2025_64,1.0,76.04961500154236,0.0,0.0,0.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,5.0,1.0
2025_64,1.0,76.04961500154236,0.0,0.0,1.0,2.0,중학교,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,6.0,1.0
2025_64,1.0,76.04961500154236,0.0,0.0,1.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,6.0,1.0
2025_64,1.0,77.26995562194232,0.0,0.0,0.0,1.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,7.0,1.0
2025_64,1.0,77.26995562194232,0.0,0.0,0.0,1.0,중학교,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,8.0,1.0
2025_64,1.0,76.04961500154236,0.0,0.0,0.0,2.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,7.0,1.0
